Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SP-3254.5   ID: 653758289
Report Date: Fri Jun  5 09:03:24 2026

Location: 40.145101 -111.646422
Street:    City/St:    Pole #: 
Desc:    Splice#: SP-3254.5


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

CENTRAL_UTAH_911_(VIA_HUB_3-07),72-SMF 4800 S DIST: MAIN ST - I-15,   1,BL,BL,<->,144-SMF I-15 DIST: MP 258.96 - 4800 S, ,VI,YL, ,[ATMS] CENTRAL UTAH 911
CENTRAL_UTAH_911_(VIA_HUB_3-07),72-SMF 4800 S DIST: MAIN ST - I-15,   2,BL,OR,<->,144-SMF I-15 DIST: MP 258.96 - 4800 S, ,VI,VI, ,[ATMS] CENTRAL UTAH 911
CENTRAL_UTAH_911_(VIA_HUB_3-07),72-SMF 4800 S DIST: MAIN ST - I-15,   3,BL,GR,<->,144-SMF I-15 DIST: 4800 S - MP 259.46, ,VI,YL, ,[ATMS] CENTRAL UTAH 911
CENTRAL_UTAH_911_(VIA_HUB_3-07),72-SMF 4800 S DIST: MAIN ST - I-15,   4,BL,BR,<->,144-SMF I-15 DIST: 4800 S - MP 259.46, ,VI,VI, ,[ATMS] CENTRAL UTAH 911
HUB3-2(REGION_3_OFFICE_1370W&800N),72-SMF 4800 S DIST: MAIN ST - I-15,   5,BL,SL,<->,6 DROP (TSC): I-15 NB & 1600 S, ,BL,GR, ,CH 3254
HUB3-2(REGION_3_OFFICE_1370W&800N),72-SMF 4800 S DIST: MAIN ST - I-15,   6,BL,WH,<->,6 DROP (TSC): I-15 NB & 1600 S, ,BL,BR, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),72-SMF 4800 S DIST: MAIN ST - I-15,   7,BL,RD,<->,144-SMF I-15 DIST: 4800 S - MP 259.46, ,GR,SL, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),72-SMF 4800 S DIST: MAIN ST - I-15,   8,BL,BK,<->,144-SMF I-15 DIST: 4800 S - MP 259.46, ,GR,WH, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),144-SMF I-15 DIST: MP 258.96 - 4800 S,  29,GR,SL,<->,6 DROP (TSC): I-15 NB & 1600 S, ,BL,BL, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),144-SMF I-15 DIST: MP 258.96 - 4800 S,  30,GR,WH,<->,6 DROP (TSC): I-15 NB & 1600 S, ,BL,OR, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),144-SMF I-15 DIST: MP 258.96 - 4800 S, 117,VI,YL,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,BL, ,[ATMS] CENTRAL UTAH 911
HUB3-7(SPANISH_FORK_630W&100S),144-SMF I-15 DIST: MP 258.96 - 4800 S, 118,VI,VI,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,OR, ,[ATMS] CENTRAL UTAH 911
HUB3-2(REGION_3_OFFICE_1370W&800N),6 DROP (TSC): I-15 NB & 1600 S,   1,BL,BL,<->,144-SMF I-15 DIST: MP 258.96 - 4800 S, ,GR,SL, ,CH 3254
HUB3-2(REGION_3_OFFICE_1370W&800N),6 DROP (TSC): I-15 NB & 1600 S,   2,BL,OR,<->,144-SMF I-15 DIST: MP 258.96 - 4800 S, ,GR,WH, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),6 DROP (TSC): I-15 NB & 1600 S,   3,BL,GR,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,SL, ,CH 3254
HUB3-7(SPANISH_FORK_630W&100S),6 DROP (TSC): I-15 NB & 1600 S,   4,BL,BR,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,WH, ,CH 3254
HUB3-2(REGION_3_OFFICE_1370W&800N),144-SMF I-15 DIST: 4800 S - MP 259.46,  29,GR,SL,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,RD, ,CH 3254
HUB3-2(REGION_3_OFFICE_1370W&800N),144-SMF I-15 DIST: 4800 S - MP 259.46,  30,GR,WH,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,BK, ,CH 3254
HUB3-2(REGION_3_OFFICE_1370W&800N),144-SMF I-15 DIST: 4800 S - MP 259.46, 117,VI,YL,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,GR, ,[ATMS] CENTRAL UTAH 911
HUB3-2(REGION_3_OFFICE_1370W&800N),144-SMF I-15 DIST: 4800 S - MP 259.46, 118,VI,VI,<->,72-SMF 4800 S DIST: MAIN ST - I-15, ,BL,BR, ,[ATMS] CENTRAL UTAH 911


Right ---

