Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri Jun  5 08:37:51 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   1,BL,BL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,BL, ,CH 2304
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   2,BL,OR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,OR, ,CH 2304
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   3,BL,GR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,GR, ,CH 2307
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   4,BL,BR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,BR, ,CH 2307
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   7,BL,RD,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,SL, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   8,BL,BK,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,WH, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  13,OR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,YL, ,CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  14,OR,OR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,VI, ,CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  15,OR,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,RO, ,CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  16,OR,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,AQ, ,CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  17,OR,SL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,BL, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  18,OR,WH,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,OR, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  19,OR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,RD, ,CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  20,OR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,BK, ,CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  24,OR,AQ,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,BL, ,[ATMS BB] 2-06 - 2-18
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  25,GR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,OR,GR, ,[ATMS BB] 2-06 - 2-18
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  27,GR,GR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,SL, ,CH 2356
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  28,GR,BR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,WH, ,CH 2356
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  29,GR,SL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,RD, ,[ATMS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  30,GR,WH,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,BK, ,[ATMS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  31,GR,RD,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,YL, ,[DTS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  32,GR,BK,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,VI, ,[DTS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  33,GR,YL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,RO, ,CH 2155
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  34,GR,VI,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,BL,AQ, ,CH 2155
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  35,GR,RO,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,BL, ,CH 2154
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  36,GR,AQ,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,OR, ,CH 2154
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  37,BR,BL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,GR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  38,BR,OR,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,BR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  39,BR,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,GR,BL, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  40,BR,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,GR,OR, ,
SP-2402.1,288-SMF I-215 DIST: 500 S - I-80,  41,BR,SL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,RD, ,[DTS] 2-09 - STATE TAX BLDG
SP-2402.1,288-SMF I-215 DIST: 500 S - I-80,  42,BR,WH,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,BK, ,[DTS] 2-09 - STATE TAX BLDG
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  43,BR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,RD, ,CH 2004
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  44,BR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,BK, ,CH 2004
SLC-FLEET,288-SMF I-215 DIST: 500 S - I-80,  47,BR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,GR, ,[DTS] SLC FLEET
SLC-FLEET,288-SMF I-215 DIST: 500 S - I-80,  48,BR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,BR, ,[DTS] SLC FLEET
ORANGE_ST_CCC,12-SMF DROP (DTS): ORANGE ST CCC,   1,BL,BL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,BL, ,[DTS] ORANGE ST CCC
ORANGE_ST_CCC,12-SMF DROP (DTS): ORANGE ST CCC,   2,BL,OR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,OR, ,[DTS] ORANGE ST CCC
HUB2-6(CALIFORNIA_AVE),18 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   1,BL,BL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,BL, ,CH 2305,CH 2305
HUB2-6(CALIFORNIA_AVE),18 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   2,BL,OR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,OR, ,CH 2305,CH 2305
HUB2-4(200S&1200W),18 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   3,BL,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,BL, ,CH 2305
HUB2-4(200S&1200W),18 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   4,BL,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,OR, ,CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   1,BL,BL,<->,18 DROP (CCTV): I-215 NB & I-80 (NE CORNER), ,BL,BL, ,CH 2305,CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   2,BL,OR,<->,18 DROP (CCTV): I-215 NB & I-80 (NE CORNER), ,BL,OR, ,CH 2305,CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   5,BL,SL,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,RD, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   6,BL,WH,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,BK, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   7,BL,RD,<->,12-SMF UDOT/CONNEXT TIE, ,BL,BL, ,[CONNEXT] 2-04 - I-215 & I-80
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   8,BL,BK,<->,12-SMF UDOT/CONNEXT TIE, ,BL,OR, ,[CONNEXT] 2-04 - I-215 & I-80
2402.4&2305.1,48-SMF I-80 DIST: I-215 - REDWOOD RD,   9,BL,YL,<->,12-SMF UDOT/CONNEXT TIE, ,BL,GR, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  10,BL,VI,<->,12-SMF UDOT/CONNEXT TIE, ,BL,BR, ,[CONNEXT] 2-04 - I-215 & I-80
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  11,BL,RO,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,GR, ,CH 2306
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  12,BL,AQ,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,BR, ,CH 2306
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  13,OR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,SL, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  14,OR,OR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BL,WH, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  15,OR,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,GR, ,CH 2402
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  16,OR,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,GR,BR, ,CH 2402
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  17,OR,SL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,RD, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  18,OR,WH,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,BK, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  19,OR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,YL, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  20,OR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,VI, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  21,OR,YL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,RO, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  22,OR,VI,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE NB, ,BR,AQ, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  23,OR,RO,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,SL, ,CH 2009
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  24,OR,AQ,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,WH, ,CH 2009
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  25,GR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,GR, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  26,GR,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,BR, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  37,BR,BL,<->,12-SMF DROP (DTS): ORANGE ST CCC, ,BL,BL, ,[DTS] ORANGE ST CCC
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  38,BR,OR,<->,12-SMF DROP (DTS): ORANGE ST CCC, ,BL,OR, ,[DTS] ORANGE ST CCC
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  39,BR,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,RO, ,[DTS] SLC FLEET
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  40,BR,BR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,AQ, ,[DTS] SLC FLEET
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  41,BR,SL,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,YL, ,CH 2454
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  42,BR,WH,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,VI, ,CH 2454
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  43,BR,RD,<->,24-SMF I-215 DIST: I-80 EB - INTERSECTION, ,OR,RO, ,[DTS] JORDAN RIVER OHV PARK
