Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: STATE_OFFICE   ID: 654851126
Report Date: Fri Jun  5 08:57:17 2026

Location: 40.676379 -111.952771
Street:    City/St:    Pole #: 
Desc:    Splice#: STATE_OFFICE


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,   5,BL,SL,<->,6 DROP: I-215 SB MP 16.10, ,BL,BL, ,CH 2302
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,   6,BL,WH,<->,6 DROP: I-215 SB MP 16.10, ,BL,OR, ,CH 2302
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  97,YL,BL,<->,UDOT 24-SMF, ,OR,BL, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  98,YL,OR,<->,UDOT 24-SMF, ,OR,OR, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  99,YL,GR,<->,UDOT 24-SMF, ,OR,GR, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 100,YL,BR,<->,UDOT 24-SMF, ,OR,BR, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 101,YL,SL,<->,UDOT 24-SMF, ,OR,SL, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 102,YL,WH,<->,UDOT 24-SMF, ,OR,WH, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 103,YL,RD,<->,UDOT 24-SMF, ,OR,RD, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 104,YL,BK,<->,UDOT 24-SMF, ,OR,BK, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 105,YL,YL,<->,UDOT 24-SMF, ,OR,YL, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 106,YL,VI,<->,UDOT 24-SMF, ,OR,VI, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 107,YL,RO,<->,UDOT 24-SMF, ,OR,RO, ,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 108,YL,AQ,<->,UDOT 24-SMF, ,OR,AQ, ,
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 277,AQ-BK,BL,<->,144-SMF: TSOB - I-215, ,OR,BL, ,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 278,AQ-BK,OR,<->,144-SMF: TSOB - I-215, ,OR,OR, ,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 279,AQ-BK,GR,<->,144-SMF: TSOB - I-215, ,OR,GR, ,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 280,AQ-BK,BR,<->,144-SMF: TSOB - I-215, ,OR,BR, ,[DTS] TSOB EAST-SOUTH - SLCC
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 281,AQ-BK,SL,<->,144-SMF: TSOB - I-215, ,OR,SL, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 282,AQ-BK,WH,<->,144-SMF: TSOB - I-215, ,OR,WH, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 283,AQ-BK,RD,<->,144-SMF: TSOB - I-215, ,OR,RD, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 284,AQ-BK,BK,<->,144-SMF: TSOB - I-215, ,OR,BK, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 285,AQ-BK,YL,<->,144-SMF: TSOB - I-215, ,OR,YL, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 286,AQ-BK,VI,<->,144-SMF: TSOB - I-215, ,OR,VI, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 287,AQ-BK,RO,<->,144-SMF: TSOB - I-215, ,OR,RO, ,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 288,AQ-BK,AQ,<->,144-SMF: TSOB - I-215, ,OR,AQ, ,
TSOB,UDOT 24-SMF,   1,BL,BL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,BL, ,[DTS] CIENA TSOB
TSOB,UDOT 24-SMF,   2,BL,OR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,OR, ,[DTS] CIENA TSOB
TSOB,UDOT 24-SMF,   3,BL,GR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,GR, ,[ATMS] GCP TSOB
TSOB,UDOT 24-SMF,   4,BL,BR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,BR, ,[ATMS] GCP TSOB
TSOB,UDOT 24-SMF,   5,BL,SL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,SL, ,
TSOB,UDOT 24-SMF,   6,BL,WH,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,WH, ,
TSOB,UDOT 24-SMF,   7,BL,RD,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,RD, ,
TSOB,UDOT 24-SMF,   8,BL,BK,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,BK, ,
TSOB,UDOT 24-SMF,   9,BL,YL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,YL, ,
TSOB,UDOT 24-SMF,  10,BL,VI,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,VI, ,
TSOB,UDOT 24-SMF,  11,BL,RO,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,RO, ,
TSOB,UDOT 24-SMF,  12,BL,AQ,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,YL,AQ, ,
TSOB,UDOT 24-SMF,  13,OR,BL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,BL, ,
TSOB,UDOT 24-SMF,  14,OR,OR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,OR, ,
TSOB,UDOT 24-SMF,  15,OR,GR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,GR, ,
TSOB,UDOT 24-SMF,  16,OR,BR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,BR, ,
TSOB,UDOT 24-SMF,  17,OR,SL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,SL, ,
TSOB,UDOT 24-SMF,  18,OR,WH,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,WH, ,
TSOB,UDOT 24-SMF,  19,OR,RD,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,RD, ,
TSOB,UDOT 24-SMF,  20,OR,BK,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,BK, ,
TSOB,UDOT 24-SMF,  21,OR,YL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,YL, ,
TSOB,UDOT 24-SMF,  22,OR,VI,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,VI, ,
TSOB,UDOT 24-SMF,  23,OR,RO,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,RO, ,
TSOB,UDOT 24-SMF,  24,OR,AQ,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,YL,AQ, ,
TSOB,144-SMF: TSOB - I-215,   1,BL,BL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,BL, ,[DTS] TSOB EAST-NORTH - SLCC
TSOB,144-SMF: TSOB - I-215,   2,BL,OR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,OR, ,[DTS] TSOB EAST-NORTH - SLCC
TSOB,144-SMF: TSOB - I-215,   3,BL,GR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,GR, ,
TSOB,144-SMF: TSOB - I-215,   4,BL,BR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,BR, ,
TSOB,144-SMF: TSOB - I-215,   5,BL,SL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,SL, ,
TSOB,144-SMF: TSOB - I-215,   6,BL,WH,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,WH, ,
TSOB,144-SMF: TSOB - I-215,   7,BL,RD,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,RD, ,
TSOB,144-SMF: TSOB - I-215,   8,BL,BK,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,BK, ,
TSOB,144-SMF: TSOB - I-215,   9,BL,YL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,YL, ,
TSOB,144-SMF: TSOB - I-215,  10,BL,VI,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,VI, ,
TSOB,144-SMF: TSOB - I-215,  11,BL,RO,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,RO, ,
TSOB,144-SMF: TSOB - I-215,  12,BL,AQ,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, ,AQ-BK,AQ, ,
TSOB,144-SMF: TSOB - I-215,  13,OR,BL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,BL, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  14,OR,OR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,OR, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  15,OR,GR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,GR, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  16,OR,BR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,BR, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  17,OR,SL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,SL, ,
TSOB,144-SMF: TSOB - I-215,  18,OR,WH,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,WH, ,
TSOB,144-SMF: TSOB - I-215,  19,OR,RD,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,RD, ,
TSOB,144-SMF: TSOB - I-215,  20,OR,BK,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,BK, ,
TSOB,144-SMF: TSOB - I-215,  21,OR,YL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,YL, ,
TSOB,144-SMF: TSOB - I-215,  22,OR,VI,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,VI, ,
TSOB,144-SMF: TSOB - I-215,  23,OR,RO,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,RO, ,
TSOB,144-SMF: TSOB - I-215,  24,OR,AQ,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, ,AQ-BK,AQ, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   5,BL,SL,<->,6 DROP: I-215 SB MP 16.10, ,BL,GR, ,CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   6,BL,WH,<->,6 DROP: I-215 SB MP 16.10, ,BL,BR, ,CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  97,YL,BL,<->,UDOT 24-SMF, ,BL,BL, ,[DTS] CIENA TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  98,YL,OR,<->,UDOT 24-SMF, ,BL,OR, ,[DTS] CIENA TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  99,YL,GR,<->,UDOT 24-SMF, ,BL,GR, ,[ATMS] GCP TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 100,YL,BR,<->,UDOT 24-SMF, ,BL,BR, ,[ATMS] GCP TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 101,YL,SL,<->,UDOT 24-SMF, ,BL,SL, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 102,YL,WH,<->,UDOT 24-SMF, ,BL,WH, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 103,YL,RD,<->,UDOT 24-SMF, ,BL,RD, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 104,YL,BK,<->,UDOT 24-SMF, ,BL,BK, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 105,YL,YL,<->,UDOT 24-SMF, ,BL,YL, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 106,YL,VI,<->,UDOT 24-SMF, ,BL,VI, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 107,YL,RO,<->,UDOT 24-SMF, ,BL,RO, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 108,YL,AQ,<->,UDOT 24-SMF, ,BL,AQ, ,
SLCC_BUILDING_(UETN),288-SMF DIST I-215: STATE OFFICE - 4240 S, 277,AQ-BK,BL,<->,144-SMF: TSOB - I-215, ,BL,BL, ,[DTS] TSOB EAST-NORTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: STATE OFFICE - 4240 S, 278,AQ-BK,OR,<->,144-SMF: TSOB - I-215, ,BL,OR, ,[DTS] TSOB EAST-NORTH - SLCC
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 279,AQ-BK,GR,<->,144-SMF: TSOB - I-215, ,BL,GR, ,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 280,AQ-BK,BR,<->,144-SMF: TSOB - I-215, ,BL,BR, ,
